"B" "Temp" "a" "erg" "s" "s-erg*temp"
"0.1" "1.03" "0.0083333333333333" "2.78932260646578" "1.76841748191295" "-1.10458480274681"
"0.1" "1.03" "0.01" "2.62562212195258" "1.76841765494431" "-0.935973130666852"
"0.1" "1.04" "0.0066666666666667" "3.04120368426505" "1.75150042903517" "-1.41135140260049"
"0.1" "1.04" "0.0083333333333333" "2.79536401759753" "1.75149705527706" "-1.15568152302436"
"0.1" "1.04" "0.01" "2.63165946773107" "1.75149641683051" "-0.985429429609809"
"0.1" "1.05" "0.01" "2.63753523401793" "1.73484532182528" "-1.03456667389354"
"0.101" "0.8" "0.0075" "2.7077955823054" "2.2460275629681" "0.0797910971237785"
"0.102" "0.8" "0.0075" "2.71910416079654" "2.24531944545662" "0.0700361168193888"
"0.102" "0.8" "0.01" "2.43962535207586" "2.24542404575723" "0.293723764096539"
"0.102" "0.9" "0.01" "2.54882731576147" "2.01432431772459" "-0.279620266460733"
"0.102" "0.9" "0.01" "2.54882731576147" "2.01432431772459" "-0.27962026646074"
"0.103" "0.8" "0.0075" "2.73041286580972" "2.2446120987514" "0.0602818061036188"
"0.103" "0.8" "0.01" "2.44818534637039" "2.24471574110754" "0.286167464011224"
"0.104" "0.8" "0.0075" "2.7417217025909" "2.24390551374819" "0.0505281516754659"
"0.104" "0.8" "0.01" "2.45674541442823" "2.24400818966479" "0.278611858122205"
"0.104" "0.9" "0.01" "2.56607406433312" "2.0127893603922" "-0.296677297507614"
"0.104" "0.9" "0.01" "2.56607406433315" "2.01278936039219" "-0.29667729750764"
"0.105" "0.8" "0.0075" "2.7530306762379" "2.2431996815111" "0.0407751405207786"
"0.105" "0.8" "0.01" "2.46530556301435" "2.24330138270099" "0.271056932289516"
"0.106" "0.8" "0.0075" "2.76433979170652" "2.2424945932716" "0.031022759906389"
"0.106" "0.8" "0.01" "2.47386579872891" "2.24259531164972" "0.263502672666597"
"0.106" "0.9" "0.01" "2.58332118064629" "2.01125747333445" "-0.313731589247214"
"0.106" "0.9" "0.01" "2.58332118064628" "2.01125747333445" "-0.313731589247201"
"0.107" "0.8" "0.0075" "2.77564905381656" "2.24179024042446" "0.0212709973712135"
"0.107" "0.8" "0.01" "2.48242612801302" "2.24188996810374" "0.25594906569332"
"0.108" "0.8" "0.0075" "2.78695846725753" "2.24108661451989" "0.0115198407138624"
"0.108" "0.8" "0.01" "2.49098655715549" "2.24118534380857" "0.248396098084176"
"0.108" "0.9" "0.01" "2.60056877820291" "2.00972858261491" "-0.33078331776771"
"0.108" "0.9" "0.01" "2.60056877820292" "2.00972858261491" "-0.330783317767717"
"0.109" "0.8" "0.0075" "2.79826803659368" "2.24038370726457" "0.0017692779896219"
"0.109" "0.8" "0.01" "2.49954709229756" "2.24048143065809" "0.240843756820049"
"0.11" "0.8" "0.0075" "2.80957776626965" "2.23968151051148" "-0.00798070250424354"
"0.11" "0.8" "0.01" "2.5081077394393" "2.23977822069333" "0.233292029141891"
"0.11" "0.9" "0.01" "2.61781697213848" "2.00820261712165" "-0.347832657802976"
"0.11" "0.9" "0.01" "2.61781697213849" "2.00820261712165" "-0.347832657802984"
"0.111" "0.8" "0.0075" "2.82088766061555" "2.2389800162613" "-0.0177301122311424"
"0.111" "0.8" "0.01" "2.51666850444439" "2.23907570609522" "0.225740902539704"
"0.112" "0.8" "0.0075" "2.8321977238515" "2.23827921665529" "-0.0274789624259077"
"0.112" "0.8" "0.01" "2.52522939304565" "2.23837387918359" "0.218190364747071"
"0.112" "0.9" "0.01" "2.63506587976799" "2.00667950841099" "-0.364879783380199"
"0.112" "0.9" "0.01" "2.635065879768" "2.00667950841099" "-0.364879783380212"
"0.113" "0.8" "0.0075" "2.84350796009288" "2.23757910397209" "-0.0372272641022149"
"0.113" "0.8" "0.01" "2.53379041084963" "2.23767273241128" "0.210640403731575"
"0.114" "0.8" "0.0075" "2.85481837335446" "2.23687967062592" "-0.0469750280576533"
"0.114" "0.8" "0.01" "2.54235156334158" "2.2369722583627" "0.203091007689433"
"0.114" "0.9" "0.01" "2.65231575317088" "2.00515919056426" "-0.381924987289526"
"0.114" "0.9" "0.01" "2.65231575317088" "2.00515919056426" "-0.381924987289527"
"0.115" "0.8" "0.0075" "2.86612896755521" "2.23618090915935" "-0.0567222648848222"
"0.115" "0.8" "0.01" "2.55091285589037" "2.23627244974956" "0.195542165037265"
"0.116" "0.8" "0.0075" "2.87743974652279" "2.23548281224572" "-0.0664689849725142"
"0.116" "0.8" "0.01" "2.5594742937525" "2.23557329940641" "0.187993864404403"
"0.116" "0.9" "0.01" "2.66956645264656" "2.00364160005509" "-0.398968207326809"
"0.116" "0.9" "0.01" "2.66956645264654" "2.00364160005509" "-0.398968207326801"
"0.117" "0.8" "0.0075" "2.88875071399709" "2.234785372679" "-0.0762151985186641"
"0.117" "0.8" "0.01" "2.56803588207677" "2.23487480029115" "0.180446094629732"
"0.118" "0.8" "0.0075" "2.90006187363479" "2.23408858337721" "-0.0859609155306251"
"0.118" "0.8" "0.01" "2.57659762590825" "2.23417694547618" "0.17289884474958"
"0.118" "0.9" "0.01" "2.68681823676319" "2.00212667562592" "-0.416009737460943"
"0.118" "0.9" "0.01" "2.68681823676318" "2.00212667562592" "-0.41600973746094"
"0.119" "0.8" "0.0075" "2.91137322901328" "2.23339243737449" "-0.0957061458361341"
"0.119" "0.8" "0.01" "2.58515953019273" "2.23347972815285" "0.165352103998664"
"0.12" "0.8" "0.0075" "2.92268478363461" "2.23269692782081" "-0.105450899086877"
"0.12" "0.8" "0.01" "2.59372159978026" "2.23278314162114" "0.157805861796932"
"0.12" "0.9" "0.01" "2.70407123779088" "2.00061435817121" "-0.433049755840584"
"0.12" "0.9" "0.01" "2.70407123779092" "2.00061435817121" "-0.433049755840617"
"0.121" "0.8" "0.0075" "2.93399654092911" "2.23200204797976" "-0.115195184763533"
"0.121" "0.8" "0.01" "2.60228383942936" "2.23208717929346" "0.150260107749973"
"0.122" "0.8" "0.0075" "2.94530850425884" "2.23130779122205" "-0.124939012185026"
"0.122" "0.8" "0.01" "2.61084625381041" "2.23139183468745" "0.142714831639119"
"0.122" "0.9" "0.01" "2.72132559358205" "1.99910459063188" "-0.450088443591971"
"0.122" "0.9" "0.01" "2.72132559358205" "1.99910459063187" "-0.450088443591979"
"0.123" "0.8" "0.0075" "2.95662067692147" "2.23061415102773" "-0.134682390509446"
"0.123" "0.8" "0.01" "2.61940884750978" "2.23069710142424" "0.135170023416412"
"0.124" "0.8" "0.0075" "2.9679330621537" "2.22992112097912" "-0.144425328743839"
"0.124" "0.8" "0.01" "2.62797162503259" "2.23000297322901" "0.127625673202933"
"0.124" "0.9" "0.01" "2.73858144846604" "1.99759731788918" "-0.467125985730257"
"0.124" "0.9" "0.01" "2.73858144846606" "1.99759731788919" "-0.467125985730271"
"0.125" "0.8" "0.0075" "2.97924566313456" "2.22922869476303" "-0.154167835744616"
"0.125" "0.8" "0.01" "2.63653459080699" "2.22930944392387" "0.120081771278278"
"0.126" "0.8" "0.0075" "2.99055848298875" "2.22853686616437" "-0.163909920226634"
